no,Test,Units,Count,Avg,SD,Farmer 1,Farmer 2,Farmer 3,Farmer 4,Farmer 5,Farmer 6,Farmer 7,Farmer 8,Farmer 9,Farmer 10
1,Ca:Mg,,10,8.2112,1.827677749,8.638,6.862,8.763,6.519,6.665,11.169,5.246,9.088,9.112,10.05
2,Ca:Mg/K,,10,0.1643,0.078145235,0.294,0.196,0.256,0.187,0.087,0.064,0.077,0.14,0.215,0.127
3,pH,,10,6.181,0.540194409,6.54,7.52,6.32,6.08,6.17,6.02,5.82,5.74,5.67,5.93
4,EC,ÂµS/cm,10,32.762,33.93074738,121.6,56.4,19.68,28.3,25.3,10.1,16.25,9.64,23.8,16.55
5,Total Nitrogen,%,10,0.0467,0.011402241,0.065,0.031,0.052,0.046,0.05,0.038,0.039,0.036,0.046,0.064
6,Total Carbon,%,10,0.7062,0.129683204,0.837,0.578,0.82,0.697,0.695,0.622,0.626,0.562,0.658,0.967
7,Inorganic Carbon,%,10,0.0242,0.002740641,0.026,0.027,0.024,0.026,0.025,0.023,0.02,0.023,0.02,0.028
8,Sand,%,10,75.7041,6.511254401,68.218,83.825,80.789,72.446,77.507,76.968,82.119,75.559,77.136,62.474
9,Silt,%,10,15.6708,3.9650435,19.118,13.285,12.223,17.284,16.34,13.753,10.14,13.68,16.892,23.993
10,Clay,%,10,8.6251,3.293326398,12.664,2.89,6.988,10.27,6.153,9.279,7.741,10.761,5.971,13.534
11,CEC,Cmol/Kg,10,2.8773,1.380237423,2.586,1.318,2.337,4.23,1.583,3.263,2.335,2.137,2.971,6.013
12,Ca,ppm,10,415.111,239.1222019,271.4,174.3,363.3,626.2,205.01,412.8,317.5,330.9,464,985.7
13,K,ppm,10,64.105,43.66574229,29.42,34.99,34.26,34.9,76.43,175.88,68.19,65.14,42.45,79.39
14,Mg,ppm,10,50.799,26.42927268,31.42,25.4,41.46,96.06,30.76,36.96,60.52,36.41,50.92,98.08
15,Na,ppm,10,49.264,61.2069764,205.2,33.42,20.06,48.1,24.41,101.24,15.66,2.88,27.12,14.55
16,S,ppm,10,47.233,31.43212442,22.1,45.19,17.27,75.37,37.8,19.96,74.39,93.4,5.77,81.08
17,Cu,ppm,10,0.535,0.294363721,0.6,0.23,0.57,0.44,0.66,0.2,0.39,0.25,1.02,0.99
18,Fe,ppm,10,137.269,101.6313363,50.99,36.33,296.4,145.5,258.6,53.24,72.09,45.34,260.5,153.7
19,Mn,ppm,10,22.077,9.444396399,12.88,7.67,32.1,22.13,26.12,14.76,35.92,16.35,32.67,20.17
20,Zn,ppm,10,1.912,1.288778923,3.05,0.59,3.44,1.12,2.5,0.48,1.93,0.44,1.59,3.98
21,P,ppm,10,11.995,13.20043623,44.66,11.98,5.68,5.41,3.78,4.28,6.92,4.03,7.68,25.53
22,B,ppm,10,0.089,0.044334586,0.16,0.03,0.06,0.12,0.05,0.04,0.11,0.07,0.12,0.13
23,Cl,ppm,10,59.337,14.41212225,80.47,85.03,54.57,53.93,63.11,51.3,63.23,50.75,54.42,36.56
24,NH3,ppm,10,4.1156,3.516383597,2.319,6.041,2.908,5.109,1.215,1.607,1.195,12.943,3.335,4.484
25,NO2+NO3,ppm,10,5.9963,3.814563469,16.371,4.281,4.098,6.323,3.423,4.035,7.092,4.671,4.312,5.357
26,Urea,ppm,10,0.295,0.182650243,0.24,0.72,0.2,0.49,0.37,0.21,0.15,0.15,0.22,0.2